id_station_itinerance;code_insee_commune;coordonneesXY;puissance_nominale;consolidated_longitude;consolidated_latitude;consolidated_commune;nbre_pdc
FRS34P34039001;34039;[3.6585276126861572, 43.44682312011719];22.0;3.658527612686157;43.44682312011719;Bouzigues;2
FRS34P34032003;34032;[3.212944507598877, 43.342498779296875];3.7;3.212944507598877;43.34249877929688;Béziers;2
FRS34P34032001;34032;[3.224436044692993, 43.34751510620117];22.0;3.224436044692993;43.34751510620117;Béziers;2
FRS34P34032005;34032;[3.2191388607025146, 43.339656829833984];22.0;3.219138860702514;43.339656829833984;Béziers;2
FRS34P34032007;34032;[3.208104372024536, 43.30677795410156];3.7;3.208104372024536;43.30677795410156;Béziers;2
FRS34P34032004;34032;[3.2220733165740967, 43.34787368774414];22.0;3.2220733165740967;43.34787368774414;Béziers;2
FRS34P34141001;34141;[2.6347360610961914, 43.31717300415039];22.0;2.6347360610961914;43.31717300415039;La Livinière;2
FRS34P34161001;34161;[3.1221694946289062, 43.331871032714844];22.0;3.1221694946289062;43.33187103271485;Montady;2
FRS34P34165001;34165;[3.6962637901306152, 43.51347351074219];3.7;3.6962637901306152;43.51347351074219;Montbazin;2
FRS34P34163002;34163;[3.6922645568847656, 43.628543853759766];22.0;3.6922645568847656;43.628543853759766;Montarnaud;2
FRS34P34163001;34163;[3.692194938659668, 43.62865447998047];22.0;3.692194938659668;43.62865447998047;Montarnaud;2
FRS34P34162001;34400;[3.482994556427002, 43.480464935302734];3.7;3.482994556427002;43.480464935302734;;2
FRS34P34166001;34166;[3.3659396171569824, 43.3950309753418];3.7;3.3659396171569824;43.3950309753418;Montblanc;2
FRS34P34159001;34159;[3.799119472503662, 43.5090446472168];22.0;3.799119472503662;43.5090446472168;Mireval;2
FRS34P34157001;34157;[3.6084415912628174, 43.42811584472656];22.0;3.6084415912628174;43.42811584472656;Mèze;2
FRS34P34157002;34157;[3.604875087738037, 43.42278289794922];22.0;3.604875087738037;43.42278289794922;Mèze;2
FRS34P34926002;34280;[4.011443138122559, 43.61669921875];22.0;4.011443138122559;43.61669921875;;2
FRS34P34176001;34176;[4.041513919830322, 43.64482116699219];22.0;4.041513919830322;43.64482116699219;Mudaison;2
FRS34P34923001;34108;[3.7272276878356934, 43.42585372924805];3.7;3.727227687835693;43.42585372924805;Frontignan;2
FRS34P34192001;34192;[3.9274709224700928, 43.5328483581543];3.7;3.9274709224700928;43.5328483581543;Palavas-les-Flots;2
FRS34P34199001;34199;[3.4098832607269287, 43.46018600463867];22.0;3.4098832607269287;43.46018600463867;Pézenas;2
FRS34P34199002;34199;[3.4245221614837646, 43.46171569824219];22.0;3.4245221614837646;43.46171569824219;Pézenas;2
FRS34P34199003;34199;[3.4214723110198975, 43.456356048583984];3.7;3.421472311019897;43.456356048583984;Pézenas;2
FRS34P34192002;34192;[3.933819055557251, 43.529075622558594];3.7;3.933819055557251;43.529075622558594;Palavas-les-Flots;2
FRS34P34189001;34390;[2.7301554679870605, 43.28015899658203];22.0;2.7301554679870605;43.28015899658203;;2
FRS34P34187001;34530;[2.915405511856079, 43.55631637573242];22.0;2.915405511856079;43.55631637573242;;2
FRS34P34183001;34183;[3.1266109943389893, 43.28908157348633];22.0;3.1266109943389893;43.28908157348633;Nissan-lez-Enserune;2
FRS34P34178001;34178;[3.146383285522461, 43.43939208984375];22.0;3.146383285522461;43.43939208984375;Murviel-lès-Béziers;2
FRS34P34926001;34280;[3.9795119762420654, 43.54777145385742];3.7;3.9795119762420654;43.54777145385742;;2
FRS34P34150001;34150;[3.530308246612549, 43.35371780395508];3.7;3.530308246612549;43.35371780395508;Marseillan;2
FRS34P34128002;34128;[3.7213289737701416, 43.92438888549805];3.7;3.7213289737701416;43.92438888549805;Laroque;2
FRS34P34135001;34135;[3.1697278022766113, 43.272125244140625];3.7;3.1697278022766118;43.27212524414063;Lespignan;2
FRS34P34211001;34211;[3.062286138534546, 43.57874298095703];22.0;3.062286138534546;43.57874298095703;Le Poujol-sur-Orb;2
FRS34P34210001;34210;[3.5274722576141357, 43.58818054199219];22.0;3.527472257614136;43.58818054199219;Le Pouget;2
FRS34P34038001;34038;[3.1704862117767334, 43.689125061035156];22.0;3.1704862117767334;43.68912506103516;Le Bousquet-d'Orb;2
FRS34P34128001;34128;[3.721072196960449, 43.92666244506836];22.0;3.721072196960449;43.92666244506836;Laroque;2
FRS34P34127001;34127;[4.0715250968933105, 43.651248931884766];3.7;4.071525096893311;43.651248931884766;Lansargues;2
FRS34P34126001;34720;[3.0838193893432617, 43.59756088256836];3.7;3.0838193893432617;43.59756088256836;;2
FRS34P34293001;34293;[2.700863838195801, 43.600494384765625];22.0;2.700863838195801;43.600494384765625;La Salvetat-sur-Agout;2
FRS34P34140001;34140;[3.1785221099853516, 43.377315521240234];22.0;3.178522109985352;43.37731552124024;Lignan-sur-Orb;2
FRS34P34142001;34142;[3.3199610710144043, 43.732666015625];22.0;3.3199610710144043;43.732666015625;Lodève;2
FRS34P34150002;34150;[3.5467333793640137, 43.3183708190918];22.0;3.5467333793640137;43.3183708190918;Marseillan;2
FRS34P34148001;34148;[3.1569666862487793, 43.365909576416016];22.0;3.1569666862487797;43.365909576416016;Maraussan;2
FRS34P34147002;34147;[3.2074551582336426, 43.46829605102539];50.0;3.2074551582336426;43.46829605102539;Magalas;2
FRS34P34147001;34147;[3.2231719493865967, 43.47156524658203];3.7;3.2231719493865967;43.47156524658203;Magalas;2
FRS34P34146001;34240;[4.089035987854004, 43.677120208740234];22.0;4.089035987854004;43.67712020874024;;2
FRS34P34403002;34145;[4.129685878753662, 43.67143630981445];22.0;4.129685878753662;43.67143630981445;Lunel;2
FRS34P34145001;34145;[4.13242244720459, 43.67328643798828];3.7;4.13242244720459;43.67328643798828;Lunel;2
FRS34P34143001;34143;[3.615347146987915, 43.45094299316406];22.0;3.615347146987915;43.45094299316406;Loupian;2
FRY01P78354001;78354;[1.6808439493179321, 48.96693801879883];22.0;1.680843949317932;48.96693801879883;Magnanville;2
FRP07P64122003;64122;[-1.5588047504425049, 43.480716705322266];7.0;-1.5588047504425049;43.480716705322266;Biarritz;2
FRP07P33063004;33800;[0.5480672121047974, 44.82571792602539];7.0;0.5480672121047974;44.82571792602539;;6
FRP07P33063003;33300;[0.5621209740638733, 44.86768341064453];11.0;0.5621209740638733;44.86768341064453;;3
FRP07P33063005;33000;[0.5469291806221008, 44.82211685180664];3.7;0.5469291806221008;44.82211685180664;;2
